gene_id,score,gene_name
ENSG00000245526.13_11,0.9872534487097672,LINC00461
ENSG00000226328.8_11,0.9870845461775234,NUP50-DT
ENSG00000261618.2_10,0.9870268701903155,LINC02605
ENSG00000236914.4_10,0.9869651477313854,LINC01852
ENSG00000203999.10_10,0.9868864543229731,LINC01270
ENSG00000278041.1_8,0.9868195602080395,ENSG00000278041
ENSG00000224271.8_12,0.9867887087120613,EPIC1
ENSG00000255874.4_9,0.9867697680553823,PRECSIT
ENSG00000260877.1,0.986743136245106,RP11-211G23.2
ENSG00000212766.9_9,0.9866908912960441,EWSAT1
ENSG00000228126.1_6,0.9866874458748677,FALEC
ENSG00000237886.2_8,0.9865946881512587,NALT1
ENSG00000278970.4_12,0.9865624131861194,HEIH
ENSG00000227579.6_12,0.9865529833971892,ENSG00000227579
ENSG00000236663.2_10,0.9863306694432107,FRGCA
ENSG00000227060.7_10,0.9862031437701585,LINC00629
ENSG00000272274.4_11,0.9860942692492191,LINC00551
ENSG00000270069.3_12,0.9859623724107487,MIR222HG
ENSG00000234380.3_11,0.9857348729035358,LINC01426
ENSG00000279672.2_9,0.9856214966452428,ENSG00000279672
ENSG00000242588.7_12,0.9855813362614118,ENSG00000242588
ENSG00000223806.8_9,0.985574002095332,LINC00114
ENSG00000236819.2_9,0.9854395158569441,LINC01563
ENSG00000240893.1_8,0.985334980943469,LINC02042
ENSG00000248275.3_11,0.9853062119528352,TRIM52-AS1
ENSG00000280054.1_7,0.985274383318924,ENSG00000280054
ENSG00000236311.6_8,0.9852601497864331,TLX1NB
ENSG00000231473.5_11,0.985232477229856,RB1-DT
ENSG00000223783.1_8,0.9851558303824736,LINC01983
ENSG00000260804.3_6,0.9851430424885848,LINC01963
ENSG00000267496.4_4,0.9850345952857755,FAM215A
ENSG00000259104.3_11,0.9850304171767426,PTCSC3
ENSG00000225431.2_9,0.9849521665684174,LINC01671
ENSG00000203801.8_8,0.9848841296188514,LINC00222
ENSG00000247982.7_9,0.9845762894907608,LINC00926
ENSG00000215808.4_9,0.9844603587507986,LINC01139
ENSG00000280719.1_6,0.9843189861829458,PCAT5
ENSG00000215417.13_7,0.9842707157840447,MIR17HG
ENSG00000227953.7_8,0.9842361302459243,LINC01341
ENSG00000264569.2_9,0.984205129421333,DCXR-DT
ENSG00000237423.3_10,0.9839905019742687,LINC01522
ENSG00000205786.8_9,0.9838826383944206,LINC01531
ENSG00000181577.16_10,0.9838170738813197,LINC03040
ENSG00000234787.9_11,0.9838086515102105,LINC00458
ENSG00000260738.1_7,0.9837055507303002,LINC00554
ENSG00000262198.2_8,0.9836417173917412,ENSG00000262198
ENSG00000265688.2_9,0.9835989662788773,MILIP
ENSG00000259275.5_12,0.9833952481947246,ENSG00000259275
ENSG00000245954.10_12,0.9832647875880912,LINC02273
ENSG00000270141.3_7,0.9831999754163425,TERC
ENSG00000258609.3_8,0.983126972365128,LINC-ROR
ENSG00000273015.3_11,0.9831200536879915,LINC00938
ENSG00000226281.6_12,0.9830981230370598,ENSG00000226281
ENSG00000204277.1_8,0.9829706773828744,LINC01993
ENSG00000258404.1_10,0.982761057541541,LINC02320
ENSG00000215866.9_10,0.9827405768610892,LINC01356
ENSG00000261706.1_6,0.9824012034545251,LINC00165
ENSG00000228135.1_9,0.982400218508368,LINC01494
ENSG00000231817.9_10,0.9822974325252103,LINC01198
ENSG00000231528.3_7,0.9822308987066275,FAM225A
ENSG00000225096.3_10,0.9822244801697028,ENSG00000225096
ENSG00000230910.6_13,0.9821931900083447,ADGRB3-DT
ENSG00000227634.3_8,0.9821253814890706,LINC01714
ENSG00000237949.3_10,0.9820264360537112,LINC00844
ENSG00000232442.3_9,0.9819842845426454,MHENCR
ENSG00000224559.2_6,0.9818830622944134,LINC01087
ENSG00000262117.5_6,0.9817453183526716,BCAR4
ENSG00000257027.1_8,0.9816290456312278,ENSG00000257027
ENSG00000260942.1_7,0.9815940103980035,CAPN10-DT
ENSG00000233515.2_10,0.9815823865770728,LINC01518
ENSG00000272473.2_9,0.9815776501570279,ENSG00000272473
ENSG00000223891.7_10,0.9812358300261025,OSER1-DT
ENSG00000260924.3_10,0.9812346957518209,LINC01311
ENSG00000261786.1_8,0.9810581206489611,ENSG00000261786
ENSG00000254300.1_7,0.9809919613900511,LINC01111
ENSG00000224854.3_7,0.9808839355210776,CDKN2A-DT
ENSG00000279821.1_7,0.980869066935808,ENSG00000279821
ENSG00000230699.2_9,0.9808254242144331,ENSG00000230699
ENSG00000234883.7_8,0.9805812148443789,MIR155HG
ENSG00000281649.3_11,0.9804810991943905,EBLN3P
ENSG00000260997.1_8,0.9801063839699282,ENSG00000260997
ENSG00000254389.3_7,0.9800377544390642,RHPN1-AS1
ENSG00000257883.1_8,0.9799469615591099,ENSG00000257883
ENSG00000261008.9_13,0.979870750004252,LINC01572
ENSG00000281560.1_4,0.9797619199330184,LSINCT5
ENSG00000278921.2_6,0.9796826633854515,EPB41L4A-DT
ENSG00000224099.2_10,0.9796396769855029,ENSG00000224099
ENSG00000237396.1_8,0.9796075019336599,LNCNEF
ENSG00000241231.2_12,0.9794077555527139,ENSG00000241231
ENSG00000256546.4_9,0.9793776181922063,LINC02985
ENSG00000253802.2_10,0.9793194623390695,SIRLNT
ENSG00000248508.10_11,0.9791936273924385,SRP14-DT
ENSG00000249378.8_11,0.9790550100026049,LINC01060
ENSG00000254211.6_11,0.9787876405976371,LINC01485
ENSG00000261526.3_11,0.9787510610916008,ENSG00000261526
ENSG00000282961.1_4,0.9786134381506375,PRNCR1
ENSG00000229989.6_9,0.9785598379313385,MIR181A1HG
ENSG00000239205.1_8,0.9785199424169646,LINC02023
ENSG00000250303.6_13,0.978514683604305,LINC02762
ENSG00000245149.6_11,0.9784911786456556,RNF139-DT
ENSG00000260542.1_8,0.9784676113332654,ENSG00000260542
ENSG00000268205.1_11,0.9783868518967092,ENSG00000268205
ENSG00000281450.1_5,0.9781700926066761,PANDAR
ENSG00000256642.1_4,0.977974829960083,LINC00273
ENSG00000259424.3_11,0.9779517909426813,IRAIN
ENSG00000253490.5_8,0.9778402615399329,LINC02099
ENSG00000224294.1_7,0.9777646243619544,PINCR
ENSG00000260629.2_7,0.9772237558956559,BGLT3
ENSG00000258169.1_8,0.977054518747077,LINC00485
ENSG00000233086.8_13,0.9768369944288646,LNCARSR
ENSG00000237436.1_9,0.9768103966956696,CAMTA1-DT
ENSG00000249073.1_6,0.9763527120410563,WSPAR
ENSG00000229140.12_17,0.976345126793938,CCDC26
ENSG00000261578.1_8,0.976286306269038,ENSG00000261578
ENSG00000174407.15_10,0.9762833445807526,MIR1-1HG
ENSG00000281189.1_4,0.9762240510526391,GHET1
ENSG00000261634.4_10,0.976187586682908,PAQR5-DT
ENSG00000132832.10_10,0.976154462618105,ENSG00000132832
ENSG00000283440.1_10,0.97609404174111,LINC01260
ENSG00000260257.2_10,0.9759408940127206,ENSG00000260257
ENSG00000224950.2_12,0.9756745535895388,ENSG00000224950
ENSG00000253161.7_12,0.9755616265129055,LINC01605
ENSG00000236975.2_11,0.9754683683273054,LINC02814
ENSG00000279141.4_9,0.975285404581903,LINC01451
ENSG00000237989.2_9,0.9749163122088632,LINC01679
ENSG00000223561.8_14,0.9746937056746333,LINC03007
ENSG00000231814.3_6,0.9746739694457173,LINC00210
ENSG00000281327.4_9,0.9746100757506057,LINC01338
ENSG00000226674.11_18,0.9745467031922703,TEX41
ENSG00000234147.4_11,0.9745263761853977,ENSG00000234147
ENSG00000230454.1_8,0.9744124218914103,ENSG00000230454
ENSG00000185904.12_9,0.9743883614934563,LINC00839
